service,function
directIssueWithPOReturnSartnr,s_stockiss_return_sartnrbl
directIssueWithPOLLieferant,s_stockiss_l_lieferantbl
directIssueWithPOGLAcct,s_stockiss_gl_acctbl
storedWithoutPONewLscheinnr,s_stockin_new_lscheinnrbl
storedWithoutPOStockinPrepare,prepare_s_stockin_1bl
delivernoteSelect,select_delivernotebl
directIssueWithPOReturnQty,s_stockiss_return_qtybl
glLinkcompliRefno,gl_linkcompli_refnobl
poStockinCurrLager,po_stockin_curr_lagerbl
poStockinMiAll,po_stockin_mi_allbl
poStockinMiAll1,po_stockin_mi_all1bl
poStockinNewLscheinnr,po_stockin_new_lscheinnrbl
poStockinChkLOp,po_stockin_chk_l_opbl
poStockinPrepare,prepare_po_stockin_webbl
poStockin1Prepare,prepare_po_stockin_1bl
poStockinMiAll11,po_stockin_mi_all1_1bl
poStockinBtnStop,po_stockin_btn_stop_webbl
directIssueWithPOReturnLscheinnr,s_stockiss_return_lscheinnrbl
poListBtnGo1,po_list_btn_go1bl
poListBtnSretour,po_list_btn_sretourbl
poListReturnLname,po_list_return_lnamebl
poListListCheckDel,po_list_check_delbl
stockOnHandhisPrepare,prepare_sall_onhandhisbl
dpurchaseCancel,cancel_dpurchasebl
chgRecipeChgRezlin,chg_rezeipt_chg_rezlinbl
sStockoutCreateOpList,s_stockout_create_op_list_webbl
sStockoutBtnStop,s_stockout_btn_stopbl
chgStockdatePrepare,prepare_chg_stockdatebl
chgStockdateBtnExit,chg_stockdate_btn_exitbl
kitTransferPrepare,prepare_kit_transfer_1bl
kitTransferGetPrice,kit_transfer_get_price_webbl
kitTransferChgBilldate,kit_transfer_chg_billdatebl
kitTransferBillart,kit_transfer_billartbl
sTransformNewLscheinnr1,s_transform_new_lscheinnr1bl
sTransformNewLscheinnr2,s_transform_new_lscheinnr2bl
sTransformStockOh,s_transform_stock_ohbl
dmlIssueCreateOpList,dml_issue_create_op_listbl
stockOutlistPrintOutgoing,stock_outlist_print_outgoingbl
sTransformBtnStop,s_transform_btn_stopbl
closeInvPrepare,prepare_close_inventory_1bl
addInvArticle1,mk_sarticlebl
addInvArticleFibukonto,mk_sarticle_fibukontobl
addInvArticleBezeich,mk_sarticle_bezeichbl
storeReqInsCreateOpList,ins_storerequest_create_op_listbl
storeReqInsBtnHelp1,ins_storerequest_btn_help1bl
storeReqInsBtnHelp2,ins_storerequest_btn_help2bl
storeReqInsCheckArtnr,ins_storerequest_check_artnrbl
storeReqInsCheckGlacct,ins_storerequest_check_glacctbl
storeReqInsCostCenter,ins_storerequest_cost_centerbl
storeReqInsDeptno,ins_storerequest_deptnobl
storeReqInsLscheinnr,ins_storerequest_lscheinnrbl
storeReqInsReadData,ins_storerequest_read_databl
storeReqInsReturnCostAcct,ins_storerequest_return_cost_acctbl
storeReqInsReturnCostCenter,ins_storerequest_return_cost_centerbl
storeReqInsReturnDeptno,ins_storerequest_return_deptnobl
storeReqInsReturnQty,ins_storerequest_return_qtybl
storeReqInsReturnSArtnr,ins_storerequest_return_s_artnrbl
storeReqInsToStock,ins_storerequest_to_stockbl
initialStockBtnDel,initial_stock_btn_delbl
sStockoutReadRequestRecords,s_stockout_read_request_recordsbl
reorgMonhandUpdEingang1,reorg_monhand_update_eingang_1bl
invCloseSelect1,select_invclose_1bl
stockOnHandListCustom,sall_onhand_btn_go1_webbl
materialRec,material_recbl
receivingReportList1,supply_inlist_btn_go_webbl
supplyHinlistBtnGo1,supply_hinlist_btn_go_1_webbl
stockHOutlistList1,stock_houtlist_btn_go_webbl
invChecking,inv_checking_webbl
chgRecipeChgRezlin1,chg_rezeipt_chg_rezlin_webbl
chgRecipeSave1,chg_rezeipt_btn_go_webbl
exportRecipePrepare,prepare_export_recipebl
exportRecipe,export_recipebl
poListDelPO,po_list_del_po_2bl
slowMovingPrepare1,prepare_slow_moving_1bl
slowMovingList3,slow_moving_btn_go_3bl
invAdjustmentBtnGo4,inv_adjustment_btn_go4bl
invAdjustmentBtnGo5,inv_adjustment_btn_go5bl
invNetconsump,inv_netconsumpbl
closeInventoryCustom,close_inventory_webbl
closeInventory1Custom,close_inventory1_webbl
closeInventory1GetInfo,close_inventory1_get_info_webbl
glLinkstock1Prepare,prepare_gl_linkstock_1bl
glLinkcompli1Prepare,prepare_gl_linkcompli_1bl
stockInlist,stock_inlistbl
stinReportHisList,stin_summaryhis_btn_gobl
invAdjustmentBtnGo31,inv_adjustment_btn_go3_webbl
dmlIssueBtnGo1,dml_issue_btn_go_webbl
dmlIssueCreateList1,dml_issue_create_dml_list_webbl
dmlStockinCreateDMLList1,dml_stockin_create_dml_list_webbl
dmlStockinBtnGo1,dml_stockin_btn_go_webbl
dmlIssueBtnGo2,dml_issue_btn_go_web_1bl
closeInventory1Custom1,close_inventory1_web_1bl
sTransformBtnGo1,s_transform_btn_go_1bl
invVatListPrepare,prepare_inventory_vat_listbl
invVatList,inventory_vat_listbl
directIssueWithPOBtnGo1,s_stockiss_btn_go_1bl
storedWithoutPOSave2,s_stockin_btn_go_2bl
storedWithoutPOStockinPrepare2,prepare_s_stockin_2bl
poStockinPrepare1Custom,prepare_po_stockin_web_1bl
poIssuePrepare1,prepare_po_issue_web_1bl
poStockinBtnStop1,po_stockin_btn_stop_web_1bl
poIssueBtnStop1,po_issue_btn_stop_web_1bl
receivingReportPrepare1,prepare_supply_inlist_webbl
outsPOListCustom,outstand_polist_btn_go_webbl
stockHohlist1Custom,stock_hohlist1_webbl
expPOListCustom,expired_polist_btn_go_webbl
stockHohlist2Custom,stock_hohlist2_webbl
invAdjustmentGetInvfibu,inv_adjustment_get_invfibubl
cancelStockInHisLoad,cancel_stockinhis_btn_go_webbl
