20251022-13:51:23 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:51:24 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:51:25 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  99.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:51:26 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:51:27 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  99.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:51:28 %Cpu(s):   0.4 us,   1.9 sy,   0.0 ni,  97.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:51:29 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:51:30 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:51:31 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:51:32 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  99.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:51:33 %Cpu(s):   0.4 us,   1.9 sy,   0.0 ni,  97.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:51:34 %Cpu(s):   0.4 us,   1.4 sy,   0.0 ni,  97.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.4 st
20251022-13:51:36 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  98.5 id,   0.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:51:37 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:51:38 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:51:39 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  99.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:51:40 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:51:41 %Cpu(s):   0.0 us,   1.4 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:51:42 %Cpu(s):   0.0 us,   1.4 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
