service,function
dailySalesReportP22,rest_daysalesp2_btn_go2_webbl
hbillPrintSelection,print_hbill_getsection_webbl
fbDetailreportPrepare,prepare_fb_detailreportbl
fbDetailreport,fb_detailreportbl
restInvVoidSalesitem,ts_closeinv_void_salesitembl
closeinv2Prepare,prepare_ts_closeinv_2_webbl
fbSalesCostsAnal2Prepare,prepare_menu_eng_v2bl
fbSalesCostsAnal2List,menu_eng_v2_btn_go_webbl
hbillPrintPartial,print_hbill_getpartial_webbl
fbSalesCostsAnal2Lists,menu_eng_v2_list_webbl
biltransfer2Custom,ts_biltransfer2_webbl
tablePlan1Prepare,prepare_ts_tbplan1_webbl
restBillJournalList1,rest_billjourn_journal_list1_webbl
splitbillPrintPartial,printsplit_hbill_getsection_webbl
restStat1,rest_stat1_webbl
restStatsegment,rest_statsegment_gobl
kitchenDisplayUpdateStatus,kitchen_display_update_statusbl
restStatsegmentCustom,rest_statsegment_go_webbl
restInvPostingMenuCustom,ts_restinv_posting_menu_webbl
tablePlanLoadSegment,ts_tbplan_load_segmentbl
tablePlanUpdateHBillCustom,ts_tbplan_update_hbill_webbl
restInvGetArtbarcode,ts_restinv_get_artbarcode_webbl
restInvRunHelpCustom,ts_restinv_run_help_webbl
restTableTurnover,rest_table_turnoverbl
kitchenDisplayUpdateStatusLine,kitchen_display_update_status_linebl
abfList3Custom,abf_list3_webbl
fbSalesCostsAnalShowSubmenu,menu_eng_show_submenu_webbl
tsGetRequestText,ts_get_request_text_webbl
tsMkresBtnExit2,ts_mkres_btn_exit_2bl
mealCouponListCustom,mealcoup_list_create_list_webbl
restRsvplan2BtnGo,rest_rsvplan2_btn_gobl
restRsvplan2Paymentdetail,rest_rsvplan2_paymentdetailbl
abfList12Custom,abf_list1_2_webbl
tsGeneralCheckMenu,ts_general_check_menubl
resplanCheck,ts_resplan_checkbl
clguestPrepareCustom,prepare_ts_clguest_webbl
complimentBuildComplCustom,ts_compliment_build_compl_webbl
tsMulticashPrepare,prepare_ts_multicashbl
tsMulticashCalPayamount,ts_multicash_cal_payamountbl
tablePlan2Prepare,prepare_ts_tbplan2_webbl
abfList13Custom,abf_list1_3_webbl
abfList4Custom,abf_list4_webbl
lunchdinnerList,lunchdinner_list_webbl
complimentReportList2,hcompli_list_2bl
restInvTransferToGuestbill,ts_restinv_transfer_to_guestbill_webbl
rzinrPrepareCustom,prepare_ts_rzinr_webbl
restInvBillartCustom,ts_restinv_billart_webbl
bfastCardReportCustom,bfast_card_report_webbl
hblineGetTaxservice3,ts_hbline_get_taxservice3_webbl
restStat2,rest_stat2_webbl
restStatsegment1Custom,rest_statsegment_go1_webbl
fbroomSegmentRevenue,fbroom_segment_revenue_webbl
helptischPrepareCustom,prepare_ts_helptisch_webbl
splitbillGetUpdateGuest,ts_splitbill_get_update_guestbl
restInvCancelPayment,ts_restinv_cancel_payment_webbl
fbSalesCostsAnal2Lists1,menu_eng_v2_list1_webbl
restInvCalculateAmountCustom,ts_restinv_calculate_amount_webbl
dailySalesReportP221,rest_daysalesp2_btn_go2_web_1bl
restInvUpdateVoidItem,ts_restinv_update_void_item_webbl
restInvCancelSubmenu,ts_restinv_cancel_submenu_webbl
restStatsegment2Custom,rest_statsegment_go2_webbl
restStatsegment2OutlistCustom,rest_statsegment_go2_outlist_webbl
closeinvUpdateBillCustom,ts_closeinv_update_bill_webbl

