service,function
selectAllotmentKtype,select_allotment_ktypebl
selectAllotment,select_allotmentbl
prepareRMProduct,prepare_rm_productbl
rmProductLoadData,cr_rmproductbl
rmProdnat1,rm_prodnat_1bl
rmProdsource,rm_prodsourcebl
resCancelled,res_cancelledbl
availDdownRunMain,avail_ddown_run_mainbl
availDdownDetailGuaranted,avail_ddown_detail_guarantedbl
availDdownDetailSixpm,avail_ddown_detail_sixpmbl
availDdownDetailAllotment,avail_ddown_detail_allotmentbl
availDdownDetailOral,avail_ddown_detail_oralbl
availDdownOooRoom,avail_ddown_ooo_roombl
availDdownDetailGlobal,avail_ddown_detail_globalbl
availDdownDetailOccupied,avail_ddown_detail_occupiedbl
availDdownDetailTentative,avail_ddown_detail_tentativebl
availDdownCreateList,avail_ddown_create_listbl
availDdownActiveRoom,avail_ddown_active_roombl
rcommentChg,chg_rcommentbl
historyChg,chg_historybl
rmStatistic,rm_statistic_webbl
rmStatistic1,rm_stat1bl
resCancelled1,res_cancelled_1bl
gcfsDelete,gcfs_deletebl
prepareModifyGCFIndividual,prepare_web_chg_gcf0_1bl
getVipSegment,get_vip_segmentbl
updateVipSegment,update_vip_segmentbl
resRmrate1Prepare,prepare_res_rmrate_1bl
resRmrateChkBtnGo,chk_btn_go_res_rmratebl
resRmrateChkCurr,res_rmrate_check_currencybl
resRmrateChangeRate,res_rmrate_change_ratebl
rmFproductPrepare,prepare_rm_fproductbl
rmFproduct1,cr_fproduct_1bl
argtFratePrepare,prepare_argt_fratebl
selectArgtline,select_argtlinebl
argtFrateFillRate1,argt_frate_fill_rate_1bl
argtFrateFillAdhoc,argt_frate_fill_adhocbl
argtFrateCopy,argt_frate_copybl
idcardUpload,upload_idcardbl
dayFcast,dayfcastbl
annualFcastPrepare,prepare_annual_fcastbl
annualFcast,cr_anfcastbl
gcf1CreatePrepare,prepare_mk_gcf1bl
gcfChgBtnSearch,chg_gcf_btn_searchbl
gcfCreateBtnStop,mk_gcf_btn_stopbl
allotmentList,allotmentbl
allotmentCheckSlist,allotment_check_slistbl
allotmentCheckResline,allotment_check_reslinebl
allotmentCreateAll,allotment_create_allbl
gcf1ModifyPrepare,prepare_chg_gcf1bl
globalAllotment,global_allotmentbl
globalAllotmentCheck,global_allotment_checkbl
globalAllotmentUpdate,global_allotment_updatebl
readKontlineForAllotment,read_kontline_for_allotmentbl
mkresRates,mkres_ratesbl
gcf11ModifyPrepare,prepare_chg_gcf1_1bl
roomplanPrepare2,prepare_roomplan_2bl
gcf2CreatePrepare,prepare_mk_gcf2bl
bonusNightCheck,check_bonus_nightbl
dynaratesBookingGet,get_dynarates_bookingbl
resZinrPrepare,prepare_res_zinrbl
resZinr,res_zinrbl
selectAllotmentGlobal,sel_allotorglobal
pjDepart2,pj_depart_2bl
pjDepart12,pj_depart1_2bl
pjDepartBedSetup,pj_depart_bed_setup_webbl
pjDepartCreateBrowse,pj_depart_create_browse_webbl
pjArrive12,pj_arrive_12bl
pjArriveCreateBrowse,pj_arrive_create_browse_webbl
mainresCreateBtnGo,mk_mainres_btn_gobl
mainresCreateReserveDec,mk_mainres_reserve_decbl
readFixleist,read_fixleistbl
resGname2Prepare,prepare_res_gname2bl
resGname2AutoAssignment,res_gname2_auto_assignmentbl
resGname2UpdateRes1,res_gname2_update_res1bl
closingscript,closingscriptbl
groupSeriesCreate,create_group_seriesbl
printLetterPrepare,prepare_print_letterbl
moveResmember1,move_resmember1bl
moveResmember,move_resmemberbl
resChanges,res_changesbl
gcfChgBtnHelp,chg_gcf_btn_helpbl
ratecodeSelectPrepare,prepare_select_ratecodebl
mkReslineRnext,mk_resline_rnextbl
walkinList,walkin_listbl
selectSortingPrepare,prepare_select_sortingbl
monthlyFcast1LY1,cr_occfcast1_1lybl
rmDrecap2,rm_drecap2_webbl
activitiesHistoryPrepare,prepare_activities_historywebbl
activitiesHistory,activities_historybl
keycardPrepare,prepare_keycardbl
keycardAdd1,add_keycard1bl
arlListRunMiInvoice,arl_list_run_mi_invoicebl
pjDepart2Custom,pj_depart_2_webbl
reslineCreates2,mk_resline_go_2bl
reslinePrepare3,prepare_resline_3bl
checkinGDPR1,checkin_gdpr_1bl
gcfCheckSameGuest,gcf_check_same_guestbl
gcfMerge,gcf_merge_webbl
bedAvailability1,availability1_1bl
availSelectSortingPrepare,prepare_avail_select_sortingbl
monthlyFcast1LY2,cr_occfcast1_2lybl
gcfHistory2,gcf_history_2bl
arlListRunMiInvoice22,arl_list_run_mi_invoice_22bl
gcfList1,gcf_list1_webbl
gcfMcRead,mc_gcf0_readbl
mcTypeRead,read_mc_typesbl
gcfHistory3,gcf_history_3bl
getConfirmletterDataPrint,get_data_print_confirmletter_webbl
leadtimeRsv4,leadtime_rsv_4bl
resList11,res_list_1_webbl
rmSobDetail,rm_sob_detailbl
showRevenue,view_staycostbl
arlDisp11,arl_list_disp_arlist1_webbl
resCancelEdit1,res_cancel_edit_webbl
roomplanPrepare21,prepare_roomplan_2_webbl
roomplan211,roomplan2_1_webbl
resRmrate2Prepare,prepare_res_rmrate_2bl
resRmrate1ChkBtnGo,chk_btn_go_res_rmrate1bl
rmRevenue2,rm_revenue_1_webbl
rcommentChg1,chg_rcomment_webbl
loadPJInhouse3,pj_inhouse2_btn_go_3_webbl
pjArrive2,pj_arrive_webbl
pjArriveCreateBrowse1,pj_arrive_create_browse1_webbl
exportGCF,exportgcf_3bl
mobileReport,mobile_reportbl
exportGHS,exportghs_webbl
membershipList,membership_listbl
dailyaclubAccorPrepare,prepare_accor_dailyaclubbl
dailyaclubAccorList,accor_dailyaclubbl
gcfExport,export_gcfbl
exportTopgcf,export_topgcfbl
gcf11CreatePrepare,prepare_mk_gcf1_1bl
gcf2BtnGo,gcf_btn_go_2bl
gcf11aModifyPrepare,prepare_chg_gcf1_1abl
gcfHistoryCustom,gcf_history_webbl
rmProductbyrate,rm_productbyratebl
